,chemicalFormula,references,Crystallinity,Electrical conductivity,Electrical conductivity-conditions,Electrical conductivity-dataType,Electrical conductivity-units,Electrical resistivity,Electrical resistivity-conditions,Electrical resistivity-dataType,Electrical resistivity-units,Power factor,Power factor-conditions,Power factor-dataType,Power factor-units,Preparation method,Seebeck coefficient,Seebeck coefficient-conditions,Seebeck coefficient-dataType,Seebeck coefficient-units,Space group,Thermal conductivity,Thermal conductivity-conditions,Thermal conductivity-dataType,Thermal conductivity-units,Thermoelectric figure of merit (zT),Thermoelectric figure of merit (zT)-conditions,Thermoelectric figure of merit (zT)-dataType
28,Ca0.9Ho0.1MnO3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/0022-4596(91)90248-G', 'doi': '10.1016/0022-4596(91)90248-G'}]}]",Polycrystalline,1.0529E+02,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00949715,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.0841E-04,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,-101.47,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,62,1.518351106,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.04998035,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL
29,Zn0.98Al0.02O,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1039/A602506D', 'doi': '10.1039/A602506D'}]}]",Polycrystalline,7.0435E+02,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00128825,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.6924E-03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, air",-147.654,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,186,27.2,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.024887514,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
30,CeFe3CoSb12,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://www.jstor.org/stable/2889796'}]}]",Polycrystalline,4.3408E+02,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00230374,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.3513E-03,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Melted, vacuum",176.441,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,204,,,,,,,
31,Ni2.0Mo6S8,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1007/s11664-009-0975-0', 'doi': '10.1007/s11664-009-0975-0'}]}]",Polycrystalline,2.1895E+03,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.000456731,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,9.4937E-05,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, vacuum",20.8232,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,148,4.2372,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.015683881,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL
32,In1.994Ge0.006O3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/j.ssc.2007.12.033', 'doi': '10.1016/j.ssc.2007.12.033'}]}]",Polycrystalline,1.1950E+03,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.000836795,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,3.0448E-04,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,-50.4768,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,206,9.71545,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.009402057,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL
33,Sr3Ti1.6Nb0.4O7,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1063/1.3117943', 'doi': '10.1063/1.3117943'}]}]",Polycrystalline,1.2800E+02,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.0078125,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,3.1954E-04,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, Ar",-158,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,221,2.14,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.149317383,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL
34,La3Te3.35Bi0.65,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1103/PhysRevB.81.125205', 'doi': '10.1103/PhysRevB.81.125205'}]}]",Polycrystalline,2.2883E+02,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00437,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,3.9031E-04,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, Ar",-130.60,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,220,1.56,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.175137182,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL
35,Zn0.9975Al0.0025O,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1021/nl202439h', 'doi': '10.1021/nl202439h'}]}]",Polycrystalline,1.5310E+01,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.065316786,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.0996E-04,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Microwave solvothermal, air",-268.00,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,186,2.283,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.033716067,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL
36,Ca3AlSb3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1039/c0ee00517g', 'doi': '10.1039/c0ee00517g'}]}]",Polycrystalline,8.8731E+00,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.1127,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,6.2500E-05,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, Ar",265.40,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,62,0.692,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.090317483,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL
37,CeFe1.5Co2.5Sb12,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://www.jstor.org/stable/2889796'}]}]",Polycrystalline,8.3787E+01,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.011935,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.0597E-05,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Melted, vacuum",-35.5636,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,204,,,,,,,
38,La2.99Te4,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1103/PhysRevB.81.125205', 'doi': '10.1103/PhysRevB.81.125205'}]}]",Polycrystalline,1.2469E+03,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.000802,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,4.1369E-04,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, Ar",-57.60,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,220,2.84,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.101964806,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL
39,WO2.9,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'Personal communication'}]}]",Polycrystalline,8.0760E+02,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00123823,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,6.4247E-05,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Spark plasma sintering,-28.21,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,10,3.0834,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.00625094,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL
40,SrNd0.2Ti0.8O3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1007/978-3-540-88201-5_24', 'doi': '10.1007/978-3-540-88201-5_24'}]}]",Polycrystalline,5.4400E+02,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.001838235,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,6.4375E-05,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, air",-34.4,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,221,5.53,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.003492303,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL
41,La3Te3.8Sb0.2,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1103/PhysRevB.81.125205', 'doi': '10.1103/PhysRevB.81.125205'}]}]",Polycrystalline,1.6978E+03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.000589,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,3.6869E-04,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, Ar",-46.60,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,220,2.58,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.057160606,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
42,LaNiO3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1557/PROC-793-S3.3', 'doi': '10.1557/PROC-793-S3.3'}]}]",Polycrystalline,3.5175E+02,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00284295,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.3906E-05,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Evaporate nitrates (1173 K, air)",-19.88,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,167,,,,,,,
43,Mg2Si0.993Bi0.007,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1039/C1JM10827A', 'doi': '10.1039/C1JM10827A'}]}]",Polycrystalline,2.8736E+03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.000348,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.7753E-03,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Mechanochemical, Ar",-78.60,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,225,5.68,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.125019427,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
44,La0.95Sr0.05CoO3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/j.jssc.2008.08.078', 'doi': '10.1016/j.jssc.2008.08.078'}]}]",Polycrystalline,1.0532E+03,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.000949511,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,6.6034E-05,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,25.04,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,15,,,,,,,
45,Sr0.61Ba0.39Nb2O6,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1063/1.3291563', 'doi': '10.1063/1.3291563'}]}]",Single crystal,6.8429E+01,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.014613639,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,2.5754E-04,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Czochralski method, anneal P(O2) = 10$^{-14}$",-194.00,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,100,2.0205,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.050985445,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
46,Zr0.35Hf0.35Ti0.3NiSn,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/j.jallcom.2004.05.078', 'doi': '10.1016/j.jallcom.2004.05.078'}]}]",Polycrystalline,1.1890E+02,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00841046,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.2927E-03,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Arc-melted, Ar",-329.724,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,216,,,,,,,
47,TiNiSn,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/j.jallcom.2008.02.041', 'doi': '10.1016/j.jallcom.2008.02.041'}]}]",Polycrystalline,3.1829E+01,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.031417889,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,2.3428E-04,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Arc-melted, vacuum",-271.305,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,216,6.0761,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.011567378,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL
48,In1.8Ge0.2O3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/j.ssc.2007.12.033', 'doi': '10.1016/j.ssc.2007.12.033'}]}]",Polycrystalline,3.5774E+02,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.0027953,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.4664E-04,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,-64.0245,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,206,2.61135,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.022462541,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL
49,CaMn6CuO12,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1063/1.1687532', 'doi': '10.1063/1.1687532'}]}]",Polycrystalline,4.9004E+01,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.0204067,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,4.4697E-06,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, air",-30.2012,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,194,,,,,,,
50,La0.95Sr0.05CoO3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/j.jssc.2008.08.078', 'doi': '10.1016/j.jssc.2008.08.078'}]}]",Polycrystalline,1.3740E+02,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.007277798,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,2.2865E-04,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,129,"{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,15,,,,,,,
51,Fe1.96Ti0.04O3,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/S0925-8388(01)01804-7', 'doi': '10.1016/S0925-8388(01)01804-7'}]}]",Polycrystalline,2.6568E+04,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.376396903,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,3.5679E-05,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, air",-366.46,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,2,7.82,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.001368757,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL
52,Mg2Si0.999Bi0.001,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1039/C1JM10827A', 'doi': '10.1039/C1JM10827A'}]}]",Polycrystalline,3.1576E+02,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.003167,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,1.6849E-03,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Mechanochemical, Ar",-231.00,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,225,3.66,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.322249944,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL
53,Ti0.99Nb0.01NiSn,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/j.jallcom.2008.02.041', 'doi': '10.1016/j.jallcom.2008.02.041'}]}]",Polycrystalline,8.6574E+02,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.001155085,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,2.7221E-03,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Arc-melted, vacuum",-177.319,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,216,6.8928,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.118473741,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",EXPERIMENTAL
54,Ni2.0Mo6S8,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1007/s11664-009-0975-0', 'doi': '10.1007/s11664-009-0975-0'}]}]",Polycrystalline,2.1355E+03,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.000468269,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,2.3574E-04,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,"Solid state reaction, vacuum",33.2249,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,148,5.9752,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K,0.039452953,"{'name': 'Temperature', 'scalars': [{'value': '1000'}], 'units': 'K'}",EXPERIMENTAL
55,Bi2Ru2O7,"[{'citation': '10.1021/cm400893e', 'doi': '10.1021/cm400893e', 'references': [{'citation': 'http://dx.doi.org/10.1016/S0038-1098(03)00080-2', 'doi': '10.1016/S0038-1098(03)00080-2'}]}]",Polycrystalline,1.7268E+03,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,S/cm,0.00057405,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\Omega \cdot$cm,5.0344E-06,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,W/m$\cdot$K$^2$,Solid state reaction,5.38,"{'name': 'Temperature', 'scalars': [{'value': '700'}], 'units': 'K'}",EXPERIMENTAL,$\mu$V/K,227,,,,,,,
